CSD,1_Cumulative_WFS_PM25,2_WFS_Fraction,3_Average_WFS_PM25,4_Any_WFS,5_WFS_PM25_exceeds_5,6_Total_PM25_exceeds_25,7_WFS_Episodes,8_Severe_Episodes,9_Longest_Episode,10_Worst_Episode,11_WFS_from_Severe_Episodes,12_Average_Recovery,Cumulative_Total_PM25,Average_Total_PM25,Cumulative_NonWFS_PM25,Average_NonWFS_PM25,Counterfactual_Value
5901006,6.39,15.51,14.07,65,45,16,8,5,21,25.42,73.5,72.56,34.8,8.06,41.18,6.81,6.81
5901012,6.83,16.43,15.04,65,49,17,9,5,21,26.59,73.3,64.9,34.75,8.14,41.58,6.8,6.8
5901017,6.88,16.53,14.67,67,50,17,9,5,21,26.84,72.9,64.8,34.73,8.14,41.6,6.8,6.8
5901019,7.17,16.88,16.8,61,50,17,9,5,21,42.21,70.5,65.7,35.31,8.31,42.48,6.91,6.9
5901022,7.52,17.48,17.97,60,51,18,9,5,10,53.53,65.6,66.7,35.49,8.43,43.01,6.95,6.88
5901028,7.55,18.38,17.17,63,53,19,9,6,18,39.07,81.7,65.5,33.52,8.05,41.06,6.57,6.58
5901035,7.37,17.22,18.47,57,52,17,9,5,10,51.45,65.2,66.8,35.42,8.37,42.79,6.93,6.88
5901037,7.2,17.09,18.04,57,51,17,8,6,18,49.03,83.4,73.44,34.92,8.25,42.12,6.84,6.79
5901039,7.47,15.89,17.51,61,55,21,10,6,12,31.93,81.6,60,39.56,9.2,47.03,7.74,7.6
5901040,7.13,15.28,17.27,59,57,18,9,5,18,28,79.3,66.1,39.56,9.14,46.69,7.74,7.51
5901043,6.91,16.62,16.45,60,52,17,10,5,11,26.26,68.8,59.91,34.65,8.3,41.55,6.95,6.75
5901046,7.13,15.59,16.17,63,54,19,10,6,12,29.18,82,59.91,38.59,8.95,45.72,7.55,7.45
5901048,6.81,14.72,16.76,58,54,18,10,5,12,25.78,77.8,60.45,39.45,9.05,46.25,7.72,7.58
5901801,7.2,16.89,15.57,66,51,14,9,4,21,72.72,60.8,65.8,35.4,8.34,42.6,6.93,6.85
5901803,7.4,17.24,17.98,59,51,17,10,5,10,53.6,65.5,60.55,35.53,8.41,42.92,6.96,6.89
5901804,7.15,15.41,16.21,63,52,19,10,5,12,29.41,77.1,59.82,39.23,9.08,46.38,7.68,7.55
5901806,7.37,15.73,16.99,62,56,20,9,5,21,27.56,80.6,64.9,39.5,9.17,46.87,7.73,7.55
5903004,7.85,19.14,16.99,66,53,16,8,5,21,32.16,73.6,72.56,33.15,8.02,41,6.49,6.57
5903010,7.98,19,19,60,53,17,8,6,18,40.39,87.6,72.89,34.02,8.22,42,6.66,6.72
5903011,11.71,24.4,30.42,55,53,19,8,6,16,68.78,92.2,73.11,36.28,9.39,47.99,7.1,6.99
5903013,7.68,18.76,17.7,62,52,15,8,6,21,36.82,84.7,73,33.26,8.01,40.94,6.51,6.57
5903015,11.43,24.38,31.41,52,51,20,8,6,11,75.35,92.2,74.67,35.47,9.2,46.9,6.96,6.95
5903017,8.18,19.52,17.7,66,52,18,8,5,21,36.17,75.8,72.33,33.71,8.2,41.89,6.6,6.65
5903019,7.9,18.16,21.29,53,46,16,8,5,12,40.76,80.7,74.11,35.59,8.51,43.49,6.97,6.97
5903023,6.99,18.62,15.68,64,47,18,8,5,19,28.62,73.2,72.37,30.57,8.06,37.56,6.67,6.39
5903027,8.21,18.81,20.95,56,50,19,8,5,12,38.42,78.9,74,35.44,8.55,43.65,6.94,6.91
5903032,8.08,18.52,20.99,55,50,20,8,5,12,34.76,78.2,74,35.55,8.54,43.63,6.96,6.91
5903039,6.99,16.72,16.92,59,49,18,9,5,12,29.84,74.9,66.1,34.81,8.18,41.79,6.81,6.86
5903041,10.15,22.63,23.77,61,56,20,8,6,16,48.8,90.5,72.89,34.72,8.8,44.87,6.81,6.81
5903043,11.25,24.18,28.71,56,50,19,8,6,16,57.54,91.7,73.22,35.29,9.13,46.54,6.92,6.88
5903045,11.59,24.46,33.63,50,50,21,8,6,11,79.63,91.9,74.89,35.79,9.32,47.38,7.02,6.91
5903047,10.68,23.05,27.23,56,53,20,8,6,16,54.13,91.7,73.22,35.64,9.06,46.32,6.98,6.93
5903050,7.63,17.51,20.96,52,49,18,9,5,16,39.37,77.8,66,35.95,8.53,43.57,7.04,7.01
5903052,10.58,22.85,30.86,49,47,19,8,6,11,68.63,92.1,74.89,35.75,9.07,46.33,7,6.95
5903056,11.56,24.54,34.91,48,48,20,8,6,11,81.23,92.7,75,35.54,9.28,47.09,6.99,6.85
5903058,11.58,24.4,32.44,51,50,20,8,6,11,79.75,91.5,74.89,35.87,9.29,47.45,7.02,6.93
5903060,7.9,17.97,20.15,56,49,18,9,5,12,34.46,77.7,66.4,36.04,8.6,43.94,7.06,6.99
5903807,7.7,18.85,16.93,65,52,16,8,6,21,33.1,84.6,72.56,33.16,8,40.87,6.49,6.56
5905005,11.67,24.25,32.53,52,50,20,8,6,16,69.22,92.5,73.56,36.45,9.46,48.12,7.15,7.01
5905009,11.63,24.13,32.44,52,49,20,8,6,16,67.98,92.7,73.56,36.58,9.48,48.21,7.17,7.06
5905014,11.55,23.95,32.2,52,50,21,8,6,16,68.82,92.5,73.44,36.66,9.48,48.21,7.19,7.07
5905018,11.42,23.76,31.82,52,50,21,8,6,16,68.81,92.1,73.44,36.63,9.45,48.05,7.18,7.07
5905023,11.55,23.91,31.03,54,51,21,8,6,16,66.96,91.6,73.44,36.75,9.5,48.29,7.2,7.06
5905026,11.62,24.14,32.39,52,50,20,8,6,16,69.03,92.6,73.56,36.51,9.47,48.13,7.16,7.04
5905030,11.41,23.74,29.12,56,53,20,8,6,16,66.72,91.6,73.33,36.67,9.42,48.08,7.19,7.11
5905032,9.42,20.28,22.19,61,60,19,11,7,17,61.83,87.8,54.17,37.03,9.11,46.45,7.26,7.13
